TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
163,2016,122.33982228364438,Chai Wan,22.2644,114.2368,1,True,Very Close (<500m),True,True,True
182,2016,1667.8104385919319,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
171,2016,1835.8327621775045,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
149,2016,1670.055171725059,Tin Hau,22.2827,114.1917,0,False,Moderate (1-2km),False,False,True
144,2016,1408.257312787372,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
171,2016,1539.6440714957673,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
182,2016,1462.7018069858414,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
171,2016,1825.93960363106,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
172,2016,1866.9413935366333,South Horizons,22.2425,114.1491,0,False,Moderate (1-2km),False,False,True
149,2016,1727.805445489579,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
163,2016,351.37343533786384,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
144,2016,1600.4383775079414,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
167,2016,1234.4101563796924,Chai Wan,22.2644,114.2368,0,False,Moderate (1-2km),False,False,True
962,2016,6668.897460740086,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
182,2016,2025.8285425857637,Admiralty,22.278399,114.16433,0,False,Far (>2km),False,False,True
182,2016,1771.4437496999958,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
144,2016,1545.7251561949424,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
144,2016,1610.391914155531,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
190,2016,1814.3931677547796,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
171,2016,1495.1098637442587,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
149,2016,1524.6839746516443,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
144,2016,1327.5755921903296,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
182,2016,1483.899320722211,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
163,2016,624.8099728641541,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),False,True,True
171,2016,1227.1245262288312,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
171,2016,1732.7644395368156,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
144,2016,1279.9831250170816,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
149,2016,1597.1400113162792,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
149,2016,1556.5389815540004,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
164,2016,804.5739566720067,Shau Kei Wan,22.2789,114.2289,0,False,Close (500-1000m),False,True,True
144,2016,926.262860120068,Causeway Bay,22.2802,114.1835,0,False,Close (500-1000m),False,True,True
143,2016,1179.027647711683,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
143,2016,837.3132458904664,Admiralty,22.278399,114.16433,0,False,Close (500-1000m),False,True,True
950,2016,3173.2081162613704,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
131,2016,438.362955982332,Wan Chai,22.2773,114.1728,0,False,Very Close (<500m),True,True,True
962,2016,5201.006216999188,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
131,2016,435.60759733877904,Wan Chai,22.2773,114.1728,0,False,Very Close (<500m),True,True,True
143,2016,1224.41158373756,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
144,2016,918.7132868753307,Causeway Bay,22.2802,114.1835,0,False,Close (500-1000m),False,True,True
