TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer,year
624,2001,358.31465791655984,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
626,2001,474.1287417964379,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,353.59641656783674,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
543,2001,1373.73661951402,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,False,True,2001
546,2001,1344.628983672422,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,True,True,2001
624,2001,333.52169879525445,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,308.3459416283142,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,282.72047451525856,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,280.98628055829795,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
627,2001,388.3141311915348,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
625,2001,1229.4339974127688,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,False,True,2001
634,2001,3787.51224112936,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
621,2001,846.1557729254,Kwu Tung,22.50752,114.09962,0,False,Close (500-1000m),True,True,True,2001
625,2001,1359.1058130244276,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
625,2001,1220.687205212212,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
624,2001,343.7225050226272,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,231.84013380733137,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
626,2001,196.4808047059756,Sheung Shui,22.5012,114.128,1,True,Very Close (<500m),True,True,True,2001
